text,replies,retweets,favorites,user,party,state,year,month
Saw the flooding devastation firsthand. Glad the Minnesotans will get the federal individual assistance they need. https://t.co/QXVy8E4ECv,0,5,47,AMYKLOBUCHAR,D,MN,2016,November
Many vets have invisible wounds. Proud that bill I led with @senjohnthune that improves the Veteran Suicide Crisis Line was signed into law.,7,43,227,AMYKLOBUCHAR,D,MN,2016,November
Agree with this and today we we got it out of bill. Keep the spotlight on industry payments to doctors https://t.co/lIAkh6SYxS,12,25,62,AMYKLOBUCHAR,D,MN,2016,November
"Great to speak at GWU with @DanaBashCNN, @FrankSesno, @ChrisCoons, &amp; @SenatorLankford about finding common ground.",11,16,58,AMYKLOBUCHAR,D,MN,2016,November
Senate passed bill releasing data on benefits of outdoor recreation. Fought for this because it helps create jobs &amp; strengthen MN's economy.,10,28,232,AMYKLOBUCHAR,D,MN,2016,November
"Congrats, Amed, on being one of this year's 32 Rhodes Scholars! You've earned it and made Minnesota proud. https://t.co/t7Kd9mfU9Y",5,18,140,AMYKLOBUCHAR,D,MN,2016,November
Met many who've lost loved ones to this. Hope guidelines reinforce that distracted driving isn't worth it. https://t.co/QImhHTnrJc,2,8,35,AMYKLOBUCHAR,D,MN,2016,November
"This weekend, the Hmong community in Minnesota celebrates a new year. May this year be filled with joy. https://t.co/l6nXfOCRpH",11,49,337,AMYKLOBUCHAR,D,MN,2016,November
Congrats @MAP_MN on winning @BushFoundation's Community Innovation award for fighting violence against women &amp; kids. https://t.co/OLbIMM6eud,0,17,54,AMYKLOBUCHAR,D,MN,2016,November
RT @BM_UCare: It was great to see you @amyklobuchar at the #HmongNewYear #UCareCommunityRelations https://t.co/LdKu4rgplG,1,7,58,AMYKLOBUCHAR,D,MN,2016,November
Ready for @GopherFootball to take on Wisconsin today. Know our #Gophers can bring home the win!,3,13,72,AMYKLOBUCHAR,D,MN,2016,November
"This morning, I visited Patina for Small Business Saturday. It's so important to #shopsmall. https://t.co/LhScfeiM5s",6,27,301,AMYKLOBUCHAR,D,MN,2016,November
"Thoughts are with people of Cuba. Hope to begin new chapter of political, economic, &amp; human rights progress &amp; renewed US-Cuba relations.",8,41,245,AMYKLOBUCHAR,D,MN,2016,November
Fidel Castro Dies at 90 - The New York Times https://t.co/kVdQWYtD2s,3,12,26,AMYKLOBUCHAR,D,MN,2016,November
"Mother-in-law,sister-in-law, Abigail&amp;me w/greenbean casserole, cheeseball, pies&amp;pumpkin full of wine. Can't beat th_ https://t.co/IOJMcETPkD",10,19,346,AMYKLOBUCHAR,D,MN,2016,November
That Vikings game put me in a bad mood. The only way out of it is Thanksgiving dinner w/John's family. Look forward to Abigail's pies!,14,7,189,AMYKLOBUCHAR,D,MN,2016,November
We are watching the Vikings game with my dad today! We are looking for a Thanksgiving win! #skol,6,9,128,AMYKLOBUCHAR,D,MN,2016,November
Happy Thanksgiving! At the Mall of America today for the @mnhungerwalk. Thankful for the generosity of the 5000 wal_ https://t.co/KENVNrjv7A,3,21,148,AMYKLOBUCHAR,D,MN,2016,November
I will be Beth. https://t.co/9cSrIDzhbI,16,46,250,AMYKLOBUCHAR,D,MN,2016,November
"Thanksgiving news for farmers! During time of low commodity prices, final renewable fuel rule much better! Worked hard on this w/MN farmers",3,27,132,AMYKLOBUCHAR,D,MN,2016,November
"Minnesota is number one in turkey production. This Thanksgiving, thank a farmer! https://t.co/VovaCZMX5t",7,25,105,AMYKLOBUCHAR,D,MN,2016,November
Drug prices high. Pres-Elect said he'd take issue on! Not in 100-day plan.I'm ready to pass Medicare D negotiation. https://t.co/DMl1Y41dV2,32,52,149,AMYKLOBUCHAR,D,MN,2016,November
At Nordic Thanksgiving bfast w/1000 sweater-wearing Scandinavians. @mlahammer rocked it (as much as you can at 7 am) on freedom of speech,8,15,142,AMYKLOBUCHAR,D,MN,2016,November
Senate needs to pass my bipartisan bill that protects seniors from abuse &amp; financial exploitation. https://t.co/gWdrr7Utbz,2,31,95,AMYKLOBUCHAR,D,MN,2016,November
Minnesota has so many great sites to see that I couldn't pick just one. #OnlyInMN https://t.co/xR9MWDIAtQ,10,8,61,AMYKLOBUCHAR,D,MN,2016,November
Happy 50th _______͍anniversary to Jim and Susan Lenfestey. Fun party and I enjoyed the aquavit_______. It was a fitting way to end the week. _ֱ_ֱ,5,3,60,AMYKLOBUCHAR,D,MN,2016,November
Visited the Maple Grove Rotary Club tonight. These local leaders are celebrating 26 years of both good business and good works.,4,6,75,AMYKLOBUCHAR,D,MN,2016,November
thanks Julie and thanks Jeff Ettinger for your outstanding leadership @HormelFoods https://t.co/sx51HjZtiB,0,4,18,AMYKLOBUCHAR,D,MN,2016,November
"Great time at 45th Annual #MedaGala. Since 1971, @Meda_MN has helped entrepreneurs start businesses and invest in our communities.",1,6,23,AMYKLOBUCHAR,D,MN,2016,November
RT @ThommyPetersen: Sens. @amyklobuchar &amp; @alfranken presenting MFU President Doug Peterson with Congressional record honoring his career._,0,8,29,AMYKLOBUCHAR,D,MN,2016,November
RT @DPDREW: @amyklobuchar speaking to @Meda_MN reminds us that we are one state and one nation. https://t.co/U1oKT667Vh,2,8,36,AMYKLOBUCHAR,D,MN,2016,November
Thanks for sharing your story on national adoption day thomas! https://t.co/RJ1bDd2Oit,2,6,46,AMYKLOBUCHAR,D,MN,2016,November
"Spoke at @MNFarmersUnion &amp; @MNFarmBureau conventions this weekend. Let's support our farmers &amp; rural communities.
https://t.co/4BVMaysYHO",0,11,81,AMYKLOBUCHAR,D,MN,2016,November
"On #NationalAdoptionDay, we're honoring adoptive families and remembering that every child deserves a loving home.",6,57,213,AMYKLOBUCHAR,D,MN,2016,November
Talked with Minnesota Association of Townships today about expanding broadband access. All communities deserve to be connected.,15,25,142,AMYKLOBUCHAR,D,MN,2016,November
Senate passed legislation I backed to give officials resources they need to strengthen security on the northern border.,19,17,113,AMYKLOBUCHAR,D,MN,2016,November
"At hearing, I asked Chair Janet Yellen about @federalreserve's goals &amp; the importance of its independence. https://t.co/L8HK7Qscnf",1,10,36,AMYKLOBUCHAR,D,MN,2016,November
Was a good night to be a Minnesota sports fan! Congrats @Timberwolves and @MNWild on getting wins at home. Now for the @Vikings on Sunday!,9,8,83,AMYKLOBUCHAR,D,MN,2016,November
"Good news: Dept. of @ENERGY approved @MNPower's plan to bring new electricity to Minnesota from hydroelectric dams.
https://t.co/nbrviIxRyQ",6,31,96,AMYKLOBUCHAR,D,MN,2016,November
Remember: No text is worth it. No snap is worth it. No tweet is worth it. https://t.co/OCpiMKrmqo,3,36,84,AMYKLOBUCHAR,D,MN,2016,November
Senate passed a bipartisan bill I supported that both preserves National Forest trails and boosts local economies in America.,14,58,344,AMYKLOBUCHAR,D,MN,2016,November
get out the snow boots! Minnesota wake-up call: Snow of varying depths is imminent https://t.co/myuhmpU8Oz,3,7,50,AMYKLOBUCHAR,D,MN,2016,November
Proud to support bill improving the Veteran Suicide Crisis Line. It passed the Senate yesterday.,4,35,215,AMYKLOBUCHAR,D,MN,2016,November
"Here's why a lot of us think Bannon shouldn't be in White House: Quotes from Bannon, Trump's chief strategist - CBS https://t.co/3kFhWuQytE",55,287,368,AMYKLOBUCHAR,D,MN,2016,November
@rigenti call michael hill in our DC office and we will help you on tickets. We will get a set amount and have a li_ https://t.co/AybmLQvQ4R,1,1,1,AMYKLOBUCHAR,D,MN,2016,November
"Great to be at the #RareVoice Awards. Congrats to @SenOrrinHatch &amp; @RepJoeCrowley. Together, we can treat and cure rare diseases.",7,18,62,AMYKLOBUCHAR,D,MN,2016,November
"Happy 165th anniversary to #WinonaMN! If you've never seen Sugar Loaf bluff, it's definitely worth a visit! @visitwinona",9,23,106,AMYKLOBUCHAR,D,MN,2016,November
"Proud to introduce the Steve Gleason Act of 2016 with @SenatorVitter, improving access to speech-generating devices for all who need it.",3,20,70,AMYKLOBUCHAR,D,MN,2016,November
Wonderful to welcome the new women Senators with @SenatorBarb. https://t.co/Xujc9yPSNr,4,14,81,AMYKLOBUCHAR,D,MN,2016,November
Call my DC office and ask for michael hill. Thanks. We get a set number of tickets and should be able to get you_ https://t.co/Qwe5cBziWA,8,8,33,AMYKLOBUCHAR,D,MN,2016,November
There are so many reasons we shouldn't give up on lifting the embargo with Cuba. This is one of them: https://t.co/EUJnLIiy5p,7,39,105,AMYKLOBUCHAR,D,MN,2016,November
"Way to go, MN! Ranked #2 in volunteering across the country according to @NationalService. Get involved here: https://t.co/QfHyBF3x7i.",3,58,206,AMYKLOBUCHAR,D,MN,2016,November
"Glad the House passed my bill to improve rural call completion. Families, businesses, &amp; emergency responders need reliable phone service.",8,44,317,AMYKLOBUCHAR,D,MN,2016,November
Deeply saddened by the passing of Gwen Ifill. She was a superb journalist. She will be missed.,5,54,370,AMYKLOBUCHAR,D,MN,2016,November
Congrats to @mndotnews Commissioner Charles Zelle on his appointment to @USDOT Nat'l Advisory Committee on Travel &amp; Tourism Infrastructure.,3,6,39,AMYKLOBUCHAR,D,MN,2016,November
"Proud of Minnesotans for supporting our Somali-American community. Like @POTUS said, ""We're all on one team."" https://t.co/WCY79eJBsn",14,119,444,AMYKLOBUCHAR,D,MN,2016,November
Let's go @Vikings! We're ready to turn this around. #skol,2,8,70,AMYKLOBUCHAR,D,MN,2016,November
Critical research in the fight against cancer happening at the Rochester @MayoClinic: https://t.co/zSTyjCFPs0,4,17,63,AMYKLOBUCHAR,D,MN,2016,November
@SheilaKihne Call Michael Hill in our DC office and we will get you on the list! I will get a set # of tickets and will work to get you one,1,2,5,AMYKLOBUCHAR,D,MN,2016,November
Great story about the heroic actions of two young Woodbury Boy Scouts: https://t.co/BfXoTRZ7yD,1,17,55,AMYKLOBUCHAR,D,MN,2016,November
Inspired by @IlhanMN's historic achievement to become the nation's first Somali-American legislator https://t.co/i5QoEoZDX2,9,160,517,AMYKLOBUCHAR,D,MN,2016,November
Women know how to work together to get things done: https://t.co/n0VnvtxUkM,10,111,296,AMYKLOBUCHAR,D,MN,2016,November
My friend &amp;MN Congressman @keithellison is thinking of putting hat in ring for DNC Chair! Go Keith! Here we are w/W_ https://t.co/VEBseb1kPv,43,154,974,AMYKLOBUCHAR,D,MN,2016,November
We must always stand by our veterans who stood up for us not just on Veterans Day but every day. https://t.co/Z9PW6HDCEm,4,25,103,AMYKLOBUCHAR,D,MN,2016,November
Thinking of the brave men and women in uniform who proudly served our nation on this Veterans Day. Grateful for their bravery and sacrifice.,3,31,223,AMYKLOBUCHAR,D,MN,2016,November
Congrats to @CatherineForNV who will be the first Latina in the U.S. Senate. Looking forward to working with you.,6,38,275,AMYKLOBUCHAR,D,MN,2016,November
.@KamalaHarris will be a champion for the middle class in the U.S. Senate and a strong voice for moving our country forward.,5,47,246,AMYKLOBUCHAR,D,MN,2016,November
Welcome to the U.S. Senate @VanHollenForMD! Lets work together to make our country stronger.,0,22,91,AMYKLOBUCHAR,D,MN,2016,November
Cant wait to partner with @TammyforIL in the U.S. Senate. Her voice will be an important one.,3,37,232,AMYKLOBUCHAR,D,MN,2016,November
Congrats to @Maggie_Hassan for winning a hard-fought race in New Hampshire - looking forward to working together in the U.S. Senate.,2,32,210,AMYKLOBUCHAR,D,MN,2016,November
"Tuesday night my daughter texted me, ""What do we do now?"" Here's how I replied: https://t.co/JgOhLcsske",26,64,194,AMYKLOBUCHAR,D,MN,2016,November
My mom kept this photo of her &amp; @HillaryClinton on her fridge until the day she died. I'll be thinking of her when_ https://t.co/MhKhqydbQe,50,467,1600,AMYKLOBUCHAR,D,MN,2016,November
Want to roar back today and say yes to progress and no to the intolerance and disrespect? ROAR back with your vote. https://t.co/VD45LDdCW4,16,36,170,AMYKLOBUCHAR,D,MN,2016,November
Gearing up for national pantsuit day! Join the #PantsuitNation! #ImWithHer,2,69,285,AMYKLOBUCHAR,D,MN,2016,November
"Don't stand still, VOTE! https://t.co/WiVE7koRMg",2,44,113,AMYKLOBUCHAR,D,MN,2016,November
"As Pres. Obama said, there's much more than names on ballot today: Democracy is on the ballot! Justice &amp; progress are on the ballot! VOTE!",17,189,439,AMYKLOBUCHAR,D,MN,2016,November
RT @JohnCroman: Senator @amyklobuchar revs up crowd at St Olaf in Northfield as part of DFL election eve Get Out the Vote blitz https://t.c_,3,29,93,AMYKLOBUCHAR,D,MN,2016,November
Good being in both Rochester and Faribault today for get out the vote events! Good spirits all around! https://t.co/lfcaRhMbG4,3,30,134,AMYKLOBUCHAR,D,MN,2016,November
RT @jamieleecurtis: 1/23/16 on a 䝋day in Iowa I joined @HillaryClinton campaign. @amyklobuchar &amp; I __ 2 _ parties &amp; offices 2___&amp;_ her expe_,26,160,1131,AMYKLOBUCHAR,D,MN,2016,November
Sad news of Janet Reno's death. When I was County Attorney I remember her as a true friend of local prosecutors..she came to our state often,8,31,272,AMYKLOBUCHAR,D,MN,2016,November
"This is a big deal. SHARE: Emails Warrant No New Action Against Hillary Clinton, F.B.I. Director Says, https://t.co/gJ3dzx4Ohu",20,366,416,AMYKLOBUCHAR,D,MN,2016,November
Looking forward to an exciting #NFC North match-up between the @Vikings &amp; @Lions! #SKOL,2,5,32,AMYKLOBUCHAR,D,MN,2016,November
Fun to be at Minneapolis Central Library's 10th anniversary celebration last night. Hennepin County's lucky to have this wonderful resource.,3,12,76,AMYKLOBUCHAR,D,MN,2016,November
Enjoyed my visit to women- &amp; family-owned M-R Sign Co. in Fergus Falls this week. https://t.co/M3EWLo8IkF,1,7,29,AMYKLOBUCHAR,D,MN,2016,November
In the third district today (Bloomington and Minnetonka) with @terri_bonoff and our legislative candidates! https://t.co/XdGPiJUIOw,3,20,158,AMYKLOBUCHAR,D,MN,2016,November
"This headline says it all: Russian media back Trump, question US democracy https://t.co/LTJNbU3XAU #I'mWithHer",22,99,111,AMYKLOBUCHAR,D,MN,2016,November
What a fantastic crowd at 9 am.!!! https://t.co/2tTxF79az0,4,16,68,AMYKLOBUCHAR,D,MN,2016,November
Minnesota's setting an example for the rest of the nation. More women in office = real results &amp; cooperation. https://t.co/oLxqzU9e1n,8,68,170,AMYKLOBUCHAR,D,MN,2016,November
"In light of significant consolidation in railroad industry, @STBDOT must act to increase competition &amp; ensure shippers are treated fairly.",0,8,15,AMYKLOBUCHAR,D,MN,2016,November
Roll up your sleeves &amp; watch this fun video featuring my friends &amp; fellow Democratic women senators. #GirlClub https://t.co/RMQ0Vxsb4V,12,118,223,AMYKLOBUCHAR,D,MN,2016,November
Big achievement for local brewers: Twin Cities Selected Among Top U.S. Home Brewing Destinations https://t.co/S1noPxkJAm,0,16,66,AMYKLOBUCHAR,D,MN,2016,November
Thanks Allison! Had a wonderful few days in northern and western MN! Blue skies and open fields! https://t.co/u5mRMq3PDK,3,4,24,AMYKLOBUCHAR,D,MN,2016,November
Good news for MN communities recovering from September storms: Administration announced Public Assistance federal funds to help rebuild.,1,2,37,AMYKLOBUCHAR,D,MN,2016,November
Called on @DeptofDefense @DeptVetAffairs w/ @SenBlumenthal to ensure taxpayers &amp; govt aren't footing the bill for EpiPen misclassification.,0,9,41,AMYKLOBUCHAR,D,MN,2016,November
What I learned from the @cubs tonight: Never underestimate the power of a good rain delay.,7,61,326,AMYKLOBUCHAR,D,MN,2016,November
They did it! 108 years is a long time to wait. Congrats @Cubs!!!,4,32,207,AMYKLOBUCHAR,D,MN,2016,November
Visited Park Rapids w/ Rep. Collin Peterson &amp; State Senator Rod Skoe to discuss exciting projects funded through New Markets Tax Credit,5,7,38,AMYKLOBUCHAR,D,MN,2016,November
"""Women &amp; Leadership"" interview I did w/ @TheAtlantic received a rare positive review from my daughter Abigail! https://t.co/5LKMXTjjOb",3,13,70,AMYKLOBUCHAR,D,MN,2016,November
"Even @POTUS can't help himself from singing a little ""Purple Rain"":
https://t.co/bh0RS0NOvA",2,29,103,AMYKLOBUCHAR,D,MN,2016,November
We need commonsense solutions that ensure everyone has access to the affordable prescription drugs they need: https://t.co/0rChRaJy0u,7,12,31,AMYKLOBUCHAR,D,MN,2016,November
I'm urging @DeptofDefense with a bipartisan group of senators to forgive debts of improperly awarded bonuses for National Guard soldiers.,14,82,305,AMYKLOBUCHAR,D,MN,2016,November
Ok they didn't exactly get back on track and the game was so bad I had nothing to tweet about. #nextweek! https://t.co/Y1leEWiLQp,4,3,38,AMYKLOBUCHAR,D,MN,2016,November
Rooting for the @Vikings to get back on track as they take on the @ChicagoBears in the Windy City! #SKOL,0,6,58,AMYKLOBUCHAR,D,MN,2016,November
Had the exciting opportunity to meet fellow LSU alum and basketball great @SHAQ on his trip to DC advocating for hi_ https://t.co/RFmKyweov2,1,5,9,BILLCASSIDY,R,LA,2016,November
Everyone be aware of this tornado watch for Southeast Louisiana. Avoid driving and stay inside. https://t.co/gTblW5MjEQ,0,2,3,BILLCASSIDY,R,LA,2016,November
"The House votes tomorrow on mental health reform. Tell your congressman to vote for #CuresNow #MentalHealthMatters
https://t.co/t4lRfVNZu6",10,16,22,BILLCASSIDY,R,LA,2016,November
.@RepTomPrice is a great choice to lead #HHS. He understands our healthcare problems and is committed to repealing and replacing #Obamacare,2,1,5,BILLCASSIDY,R,LA,2016,November
This week Congress votes on #mentalhealthreform. Ask your representative to vote yes to 21st Century Cures._ https://t.co/9ZE2iJQWjl,9,23,37,BILLCASSIDY,R,LA,2016,November
"Thankful for police/deputies who selflessly put themselves in danger.
Praying for victims in NOLA and BR shootings. https://t.co/7Qd93svafM",1,1,7,BILLCASSIDY,R,LA,2016,November
An amazing week for football in Louisiana. How about we finish it up with another win? Geaux Saints! #SaintsGameday https://t.co/6pw1jCJiNI,0,0,6,BILLCASSIDY,R,LA,2016,November
Mental health professionals agree getting #mentalhealthreform passed is a vital step to increase access to mental h_ https://t.co/cyEgI5oRQi,3,9,25,BILLCASSIDY,R,LA,2016,November
Congratulations Coach O! Can't wait to see what you have planned for #LSUFootball. #geauxtigers https://t.co/T42zURuCXl,0,1,5,BILLCASSIDY,R,LA,2016,November
"RT @LSUfootball: Ed Orgeron will be the 33rd head coach in #LSU football history. Details: https://t.co/WZwppR7OXh
#GeauxTigers https://t.c_",28,1068,1428,BILLCASSIDY,R,LA,2016,November
The LA delegation is working to secure additional flood aid for LA. Happy we are making progress with the WH. https://t.co/UEqGNQkgqp,2,5,9,BILLCASSIDY,R,LA,2016,November
A convincing victory to end the regular season #geauxtigers https://t.co/TpyrM0Wb5l,2,0,1,BILLCASSIDY,R,LA,2016,November
"Can't think of a better way to finish #Thanksgiving than with LSU football. #geauxtigers
https://t.co/Lq3WZ8mHvb",1,0,1,BILLCASSIDY,R,LA,2016,November
Was in the car the other day talking football and casework. Happy Thanksgiving! https://t.co/vYmUgeO5YI,1,2,16,BILLCASSIDY,R,LA,2016,November
"President Obama's overtime rule would have been a disaster for small businesses, jobs, and workplace flexibility. https://t.co/QKM1vP14VI",7,3,8,BILLCASSIDY,R,LA,2016,November
There are many families and individuals in need this holiday season. Consider donating and make a difference. https://t.co/oPsim3eZHs,0,1,2,BILLCASSIDY,R,LA,2016,November
"In the spirit of #Thanksgiving, consider making a donation to @brfoodbank or your local area food bank this week. https://t.co/MzO1maBBQ1",0,0,4,BILLCASSIDY,R,LA,2016,November
Urging everyone in Louisiana's 4th congressional district to get out and vote for @repmikejohnson in the upcoming r_ https://t.co/HbClLTGhDW,1,8,9,BILLCASSIDY,R,LA,2016,November
"Riverwalk tree lighting is this week. Always enjoy seeing towns around Louisiana get into the spirit of the season.
https://t.co/OCxFW3lXjP",0,1,1,BILLCASSIDY,R,LA,2016,November
"After being MIA for more than 60 years, this soldier has been laid to rest by his family in his hometown, Anacoco. https://t.co/vphpow7xal",0,2,5,BILLCASSIDY,R,LA,2016,November
"Watch my interview with @biannagolodryga on @YahooNews. My plan to replace Obamacare. #WorldsGreatestHealthCarePlan
https://t.co/kjy947ZFEh",3,2,2,BILLCASSIDY,R,LA,2016,November
Took tour of the Pythian in NOLA and @GreenCoastE efforts to bring back a part of Louisiana's culture and heritage. https://t.co/Ji3yyqiHCW,1,2,3,BILLCASSIDY,R,LA,2016,November
"Todays #natladoptionday! Lets raise awareness for the over 108,000 children in the US needing to find safe, loving homes! #adoptiongives",1,3,9,BILLCASSIDY,R,LA,2016,November
"This week Dems voted against my bill that would create 280,000 new jobs. They wonder why they lost the election? https://t.co/00oQwAYBAQ",1,6,5,BILLCASSIDY,R,LA,2016,November
And we enjoyed watching you play. Gonna miss all the seniors. Good luck to them in their last home game #geauxtigers https://t.co/9VXJEgI8C8,0,0,2,BILLCASSIDY,R,LA,2016,November
Attended the opening of the Veterans Medical Center in NOLA. Veterans will now have greater access to the high-qual_ https://t.co/qFu9ZoEbNK,0,1,3,BILLCASSIDY,R,LA,2016,November
RT @JECRepublicans: Sen @BillCassidy asks @federalreserve Yellen about the rate of our nation's productivity and the impact on economic gro_,0,1,2,BILLCASSIDY,R,LA,2016,November
Watch: President Obama warned he would veto my job creating energy bill. Letter is a badge of honor #NotAfraid https://t.co/XvJMxgdB35,2,6,7,BILLCASSIDY,R,LA,2016,November
My prediction: @Saints destroy the Panthers. Geaux Saints! Photo cred: MIKE MCCARN/AP https://t.co/3EOGhats3q,1,0,5,BILLCASSIDY,R,LA,2016,November
Will be attending the Louisiana Key Academy and the Dyslexia Resource Center's White Night Light tomorrow. Hope to see you there.,0,1,6,BILLCASSIDY,R,LA,2016,November
#Obamacare 's rising premiums are a real burden for real families. Let replace with #WorldsGreatestHealthCarePlan https://t.co/APtOTuP8V4,2,4,6,BILLCASSIDY,R,LA,2016,November
RT @YahooNews: WATCH LIVE: Louisiana GOP Sen. @BillCassidy discusses the future of Obamacare with @biannagolodryga https://t.co/xpMQCwNzX9_,1,3,4,BILLCASSIDY,R,LA,2016,November
"Senate is voting today on my bill to bring more money to LA from offshore drilling. This means more #jobs, more mon_ https://t.co/yIchmfVy64",2,11,25,BILLCASSIDY,R,LA,2016,November
Concerned about the loss of good paying energy jobs? Producing energy at home means more jobs and a stronger economy https://t.co/40dYPOIhZm,2,4,5,BILLCASSIDY,R,LA,2016,November
Congratulations @SteveScalise on being elected to another term as House Majority Whip. Great to have Louisiana represented in leadership.,0,12,37,BILLCASSIDY,R,LA,2016,November
Exciting news: LA is receiving $245 million for coastal restoration #wetlands https://t.co/7AA5ptIRb4,3,2,4,BILLCASSIDY,R,LA,2016,November
Rising premiums are out of control. Obamacare has failed. @PeteSessions and I have the #WorldsGreatestHealthCarePlan https://t.co/4Eqs6lc0zu,2,3,7,BILLCASSIDY,R,LA,2016,November
Now is the time to replace #Obamacare. @PeteSessions and I have the #WorldsGreatestHealthCarePlan. Learn more: https://t.co/O6NVW6vLxM,2,3,6,BILLCASSIDY,R,LA,2016,November
"Today is the last day to apply for @fema Disaster Recovery Assistance. Don't miss out on receiving assistance
https://t.co/swFitJ7w6z",0,5,2,BILLCASSIDY,R,LA,2016,November
Congratulations to @Reince Priebus. He is well suited for the task and will do a great job as Whitehouse chief of staff.,3,1,21,BILLCASSIDY,R,LA,2016,November
Met with @LouisianaGov and Senate Appropriations Committee staff to discuss the best ways to secure additional floo_ https://t.co/2BAdpQ25qW,0,4,20,BILLCASSIDY,R,LA,2016,November
#geauxtigers bringing home the Boot https://t.co/0ogmvqzIHr,0,1,6,BILLCASSIDY,R,LA,2016,November
This is our week. #geauxtigers #BeatArkansas https://t.co/BB5K2J5ALS,0,3,4,BILLCASSIDY,R,LA,2016,November
"Looks like New Orleans will be hosting the NCAA Final Four in '22. Great news. Hopefully, LSU will be a part of it. https://t.co/uhdCiGrdeP",0,2,4,BILLCASSIDY,R,LA,2016,November
Found this great post from @NOLAnews introducing Louisiana's 19 Medal of Honor recipients. #VeteransDay https://t.co/2lb7pVxuY4,0,2,4,BILLCASSIDY,R,LA,2016,November
Was honored to be able to attend the Veterans Day ceremony at the Arlington National Cemetery. Moving ceremony in t_ https://t.co/9FBxAaRYBp,1,0,13,BILLCASSIDY,R,LA,2016,November
This #VeteransDay we recognize the sacrifices and commitment of our veterans to protect the rights and freedoms tha_ https://t.co/yeRLLvZ9YM,0,7,11,BILLCASSIDY,R,LA,2016,November
"Earlier this week I caught up with a Navy veteran who served for 16 years, including overseas in Iraq. #VeteransDay
https://t.co/cznFS08uai",0,0,1,BILLCASSIDY,R,LA,2016,November
RT @GregHilburn1: U.S. Sen. @BillCassidy endorses @repmikejohnson in #la04 race; touts Trump ties https://t.co/AKvGmzF1U2 via @shreveportti_,1,10,12,BILLCASSIDY,R,LA,2016,November
RT @JohnKennedyLA: I'm honored to have endorsement of @BillCassidy. Looking forward to winning in Dec and working with him and President-El_,0,23,22,BILLCASSIDY,R,LA,2016,November
Sharing some of my #Election2016 thoughts. https://t.co/b2tbvFT38x,2,6,6,BILLCASSIDY,R,LA,2016,November
Congratulations to President Elect @realDonaldTrump on his victory. Excited to work with him to move America forward in the right direction.,1,13,40,BILLCASSIDY,R,LA,2016,November
Lousiana would be fortunate to have @JohnKennedyLA as its senator. I urge all Louisianans to vote for him in the upcoming runoff.,3,27,60,BILLCASSIDY,R,LA,2016,November
Second video to continue the countdown to #VeteransDay. Shared some thoughts walking by Winston Churchill's statue. https://t.co/qa7NtpTNEQ,0,0,0,BILLCASSIDY,R,LA,2016,November
If you still are unsure of your polling place check this search engine @Louisiana_sos created: https://t.co/mFla43djOx #Election2016,1,2,6,BILLCASSIDY,R,LA,2016,November
"Please, take the time tomorrow to go out and vote. It is your right, duty and privilege as an American. https://t.co/9XpRxyt53k",2,1,6,BILLCASSIDY,R,LA,2016,November
"Beginning a countdown to Veteran's Day with a spotlight on Pastor Donald Tabb from BR, a Korean War vet. #veterans https://t.co/JVr5fRpqfO",2,1,3,BILLCASSIDY,R,LA,2016,November
"Visited the new 268,000 sq ft pipe fabrication facility in Livingston Parish. it will support 1,200 direct and indi_ https://t.co/icY7qpkizq",4,7,11,BILLCASSIDY,R,LA,2016,November
"Biggest game of the season. #geauxtigers #BeatBama !!!!
https://t.co/r0msh1GkZB",1,1,6,BILLCASSIDY,R,LA,2016,November
Answered some great questions yesterday from the students at Episcopal in Baton Rouge about the job of a United Sta_ https://t.co/KCiJxWdLvB,3,2,4,BILLCASSIDY,R,LA,2016,November
Biggest game of the season tomorrow. #GeauxTigers #BeatBama https://t.co/AQet3nBvhc,0,2,4,BILLCASSIDY,R,LA,2016,November
Incredible--took 15 years to complete this by hand. It is on display at St. Edward the Confessor Catholic Church in_ https://t.co/PugnPF5n4V,0,0,3,BILLCASSIDY,R,LA,2016,November
Congrats @KidsOrchestra for being the largest elementary-age after-school music program &amp; keeping LA music traditio_ https://t.co/mrkFaypCDU,0,4,5,BILLCASSIDY,R,LA,2016,November
"More evidence that #Obamacare is broken. Time to get rid of a failed policy.
https://t.co/s57dIggZgw",3,0,0,BILLCASSIDY,R,LA,2016,November
Great opportunity from @NTCC_NTCC to learn how to repair your own #laflood damaged home. Learn more here: https://t.co/HFuQrQID0d,0,9,9,BILLCASSIDY,R,LA,2016,November
Keeping the families of these two officers in my prayers today. Ask you all to do the same. We know this pain in LA. https://t.co/kSolMvPg00,1,0,5,BILLCASSIDY,R,LA,2016,November
Today in Obamacare news: Families shocked by price of #UnaffordableCareAct. We need Worlds Greatest Healthcare Plan https://t.co/D6XpNtwZIU,0,1,2,BILLCASSIDY,R,LA,2016,November
Celebrating 50 years of Saints football today #Saints50 #WhoDatNation https://t.co/LYNuv3RAzK,0,0,0,BILLCASSIDY,R,LA,2016,November
Enjoyed signing holiday cards w @JohnBoozman today for the #HolidaysforHeroes event to send to our troops serving o_ https://t.co/5UhPCmPrLF,0,5,8,CHRISCOONS,D,DE,2016,November
Inclusion and diversity have made our country great we must continue to uphold these values and #SaveDACA https://t.co/jkIvgBlV5i,9,46,84,CHRISCOONS,D,DE,2016,November
