ID,Nation,BirthRate,LifeExp,InfMort,Density,GDPCap,Literate
117,Saudi Arabia,37.25,68.4,49.6,11.99,10600,78
118,Senegal,36.99,62.9,55.4,53.98,1580,39
119,Serbia and Montenegro,12.8,73.7,17.4,270.13,2370,93
120,Sierra Leone,44.58,46,144.4,78.27,500,31
121,Singapore,12.78,80.3,3.6,6428.08,24700,94
122,Slovakia,10.09,74.2,8.8,111.01,11500,97
123,Slovenia,9.27,75.3,4.5,95.34,16000,99
124,Somalia,46.83,47,122.2,12.16,550,38
125,South Africa,20.63,45.4,61.8,35.78,9400,85
126,Spain,9.29,79.1,4.9,79.39,18900,97
127,Sri Lanka,16.36,72.4,15.7,298.38,3250,90
128,Sudan,37.21,57.3,67.1,14.8,1360,46
129,Swaziland,39.59,37,109.4,64.71,4200,78
130,Sweden,9.81,79.8,3.4,19.73,24700,99
131,Switzerland,9.84,79.9,4.4,176.85,31100,99
132,Syria,30.11,69.1,32.7,92.64,3200,71
133,Taiwan,14.21,76.7,6.8,1622.4,17200,94
134,Tajikistan,32.99,64.3,114.8,46.96,1140,98
135,Tanzania,39.12,51.7,77.9,39.35,610,68
136,Thailand,16.39,69.2,29.5,121.31,6600,94
137,Togo,36.11,54,69.3,93.08,1500,52
138,Trinidad&Tobago,13.66,68.6,24.2,226.94,9000,94
139,Tunisia,16.83,74.2,28,59.99,6600,67
140,Turkey,17.95,71.5,45.8,86.23,6700,85
141,Turkmenistan,28.27,61.1,73.2,9.61,4700,98
142,Uganda,47.15,43.8,89.4,104.64,1200,63
143,Ukraine,9.59,66.3,21.1,80.17,4200,98
144,United Arab Em.,18.3,74.5,16.1,29.51,21100,79
145,United Kingdom,11.34,78,5.5,244.17,24700,99
146,United States,14.1,77.4,6.7,29.14,36300,97
147,Uruguay,17.28,75.7,14.3,19.22,9200,97
148,Uzbekistan,26.09,63.9,71.7,57.14,2500,99
149,Venezuela,20.22,73.6,24.6,26.63,6100,91
150,Vietnam,20.89,69.9,29.3,246.08,2100,94
151,Yemen,43.3,60.6,66.8,35.42,820,38
152,Zambia,41.01,37.4,89.4,13.23,870,79
153,Zimbabwe,24.59,36.5,63,29.13,2450,85
